,Product Name,Prices,Description,Ratings,Reviews
190,"Apple iPhone XR (Coral, 64 GB) (Includes EarPods, Power Adapter)","₹47,900",64 GB ROM15.49 cm (6.1 inch) Display12MP Rear Camera | 7MP Front CameraA12 Bionic Chip ProcessoriOS 13 CompatibleBrand Warranty of 1 Year,4.6,"1,01,049 Ratings & 8,541 Reviews"
191,"APPLE iPhone 13 Pro Max (Alpine Green, 512 GB)","₹1,59,900",512 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display12MP + 12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year,4.6,"2,053 Ratings & 199 Reviews"
192,"APPLE iPhone 11 Pro (Gold, 512 GB)","₹1,40,300",512 GB ROM14.73 cm (5.8 inch) Super Retina XDR Display12MP + 12MP + 12MP | 12MP Front CameraA13 Bionic Chip ProcessorBrand Warranty for 1 Year,4.6,"8,696 Ratings & 630 Reviews"
193,"APPLE iPhone 7 Plus (Red, 128 GB)","₹42,900",128 GB ROM13.94 cm (5.488 inch) Retina HD Display12MP Rear Camera | 7MP Front CameraApple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processorBrand Warranty of 1 Year,4.5,"29,851 Ratings & 2,991 Reviews"
194,"APPLE iPhone 13 mini (Starlight, 512 GB)","₹94,900",512 GB ROM13.72 cm (5.4 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year,4.5,"3,772 Ratings & 329 Reviews"
195,"APPLE iPhone SE 3rd Gen (Starlight, 256 GB)","₹64,900","256 GB ROM11.94 cm (4.7 inch) Retina HD Display12MP Rear Camera | 7MP Front CameraA15 Bionic Chip, 6 Core Processor ProcessorBrand Warranty of 1 Year",4.4,"1,348 Ratings & 134 Reviews"
196,"APPLE iPhone SE 3rd Gen (Product (Red), 256 GB)","₹64,900","256 GB ROM11.94 cm (4.7 inch) Retina HD Display12MP Rear Camera | 7MP Front CameraA15 Bionic Chip, 6 Core Processor ProcessorBrand Warranty of 1 Year",4.4,"1,348 Ratings & 134 Reviews"
197,"Apple iPhone XR (White, 256 GB) (Includes EarPods, Power Adapter)","₹91,900",256 GB ROM15.49 cm (6.1 inch) Display12MP Rear Camera | 7MP Front CameraA12 Bionic Chip ProcessorBrand Warranty of 1 Year,4.6,"1,01,049 Ratings & 8,541 Reviews"
198,"APPLE iPhone 13 Pro (Sierra Blue, 256 GB)","₹1,29,900",256 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year,4.7,"1,587 Ratings & 126 Reviews"
199,"APPLE iPhone SE 3rd Gen (Midnight, 64 GB)","₹49,900","64 GB ROM11.94 cm (4.7 inch) Retina HD Display12MP Rear Camera | 7MP Front CameraA15 Bionic Chip, 6 Core Processor ProcessorBrand Warranty of 1 Year",4.4,"1,348 Ratings & 134 Reviews"
200,"APPLE iPhone XR (Blue, 64 GB)","₹47,900","64 GB ROM15.49 cm (6.1 inch) Display12MP Rear Camera | 7MP Front CameraA12 Bionic Chip ProcessorWater and Dust Resistant (1 meter for Upto 30 minutes, IP67)Face ID for Secure AuthenticationFast-charge CapableBrand Warranty of 1 Year",4.6,"1,01,049 Ratings & 8,541 Reviews"
201,"APPLE iPhone 7 Plus (Jet Black, 32 GB)","₹37,900",32 GB ROM13.94 cm (5.488 inch) Retina HD Display12MP + 12MP | 7MP Front CameraApple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processor1 Year Manufacturer Warranty,4.5,"29,851 Ratings & 2,991 Reviews"
202,"APPLE iPhone 11 Pro Max (Midnight Green, 256 GB)","₹1,31,900",256 GB ROM16.51 cm (6.5 inch) Super Retina XDR Display12MP + 12MP + 12MP | 12MP Front CameraA13 Bionic Chip ProcessorBrand Warranty for 1 Year,4.7,"1,103 Ratings & 100 Reviews"
203,"APPLE iPhone 7 Plus (Silver, 256 GB)","₹85,400",256 GB ROM13.97 cm (5.5 inch) Retina HD Display12MP + 12MP | 7MP Front CameraApple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processorBrand Warranty of 1 Year,4.5,"29,851 Ratings & 2,991 Reviews"
204,"APPLE iPhone 7 (Red, 128 GB)","₹34,900",128 GB ROM11.94 cm (4.7 inch) Retina HD Display12MP Rear Camera | 7MP Front CameraApple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processorBrand Warranty of 1 Year,4.5,"95,195 Ratings & 9,180 Reviews"
205,"APPLE iPhone 13 Pro (Graphite, 1 TB)","₹1,69,900",1 TB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year,4.7,"1,587 Ratings & 126 Reviews"
206,"APPLE iPhone 13 mini (Blue, 512 GB)","₹94,900",512 GB ROM13.72 cm (5.4 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year,4.5,"3,772 Ratings & 329 Reviews"
207,"APPLE iPhone 6s Plus (Silver, 64 GB)","₹59,999",64 GB ROM13.97 cm (5.5 inch) Retina HD Display12MP Rear Camera | 5MP Front CameraA9 Chip with 64-bit Architecture and M9 Motion Co-processorBrand Warranty of 1 Year,4.4,"18,839 Ratings & 2,367 Reviews"
